date,value,State,Metric
1900-01-01,1830,Alabama,Population
1901-01-01,1907,Alabama,Population
1902-01-01,1935,Alabama,Population
1903-01-01,1957,Alabama,Population
1904-01-01,1978,Alabama,Population
1905-01-01,2012,Alabama,Population
1906-01-01,2045,Alabama,Population
1907-01-01,2058,Alabama,Population
1908-01-01,2070,Alabama,Population
1909-01-01,2108,Alabama,Population
1910-01-01,2150,Alabama,Population
1911-01-01,2185,Alabama,Population
1912-01-01,2217,Alabama,Population
1913-01-01,2279,Alabama,Population
1914-01-01,2336,Alabama,Population
1915-01-01,2345,Alabama,Population
1916-01-01,2359,Alabama,Population
1917-01-01,2361,Alabama,Population
1918-01-01,2343,Alabama,Population
1919-01-01,2337,Alabama,Population
1920-01-01,2359,Alabama,Population
1921-01-01,2402,Alabama,Population
1922-01-01,2434,Alabama,Population
1923-01-01,2464,Alabama,Population
1924-01-01,2501,Alabama,Population
1925-01-01,2534,Alabama,Population
1926-01-01,2567,Alabama,Population
1927-01-01,2609,Alabama,Population
1928-01-01,2640,Alabama,Population
1929-01-01,2644,Alabama,Population
1930-01-01,2647,Alabama,Population
1931-01-01,2649,Alabama,Population
1932-01-01,2653,Alabama,Population
1933-01-01,2661,Alabama,Population
1934-01-01,2685,Alabama,Population
1935-01-01,2719,Alabama,Population
1936-01-01,2743,Alabama,Population
1937-01-01,2762,Alabama,Population
1938-01-01,2787,Alabama,Population
1939-01-01,2814,Alabama,Population
1940-01-01,2845,Alabama,Population
1941-01-01,2902,Alabama,Population
1942-01-01,2941,Alabama,Population
1943-01-01,2902,Alabama,Population
1944-01-01,2802,Alabama,Population
1945-01-01,2775,Alabama,Population
1946-01-01,2911,Alabama,Population
1947-01-01,2942,Alabama,Population
1948-01-01,2969,Alabama,Population
1949-01-01,3000,Alabama,Population
1950-01-01,3058,Alabama,Population
1951-01-01,3059,Alabama,Population
1952-01-01,3068,Alabama,Population
1953-01-01,3053,Alabama,Population
1954-01-01,3014,Alabama,Population
1955-01-01,3050,Alabama,Population
1956-01-01,3071,Alabama,Population
1957-01-01,3109,Alabama,Population
1958-01-01,3163,Alabama,Population
1959-01-01,3204,Alabama,Population
1960-01-01,3274,Alabama,Population
1961-01-01,3316,Alabama,Population
1962-01-01,3323,Alabama,Population
1963-01-01,3358,Alabama,Population
1964-01-01,3395,Alabama,Population
1965-01-01,3443,Alabama,Population
1966-01-01,3464,Alabama,Population
1967-01-01,3458,Alabama,Population
1968-01-01,3446,Alabama,Population
1969-01-01,3440,Alabama,Population
1970-01-01,3444.354,Alabama,Population
1971-01-01,3497.076,Alabama,Population
1972-01-01,3539.4,Alabama,Population
1973-01-01,3579.78,Alabama,Population
1974-01-01,3626.499,Alabama,Population
1975-01-01,3678.814,Alabama,Population
1976-01-01,3735.139,Alabama,Population
1977-01-01,3780.403,Alabama,Population
1978-01-01,3831.836,Alabama,Population
1979-01-01,3866.248,Alabama,Population
1980-01-01,3900.368,Alabama,Population
1981-01-01,3918.531,Alabama,Population
1982-01-01,3925.266,Alabama,Population
1983-01-01,3934.102,Alabama,Population
1984-01-01,3951.82,Alabama,Population
1985-01-01,3972.523,Alabama,Population
1986-01-01,3991.569,Alabama,Population
1987-01-01,4015.264,Alabama,Population
1988-01-01,4023.844,Alabama,Population
1989-01-01,4030.222,Alabama,Population
1990-01-01,4048.508,Alabama,Population
1991-01-01,4091.025,Alabama,Population
1992-01-01,4139.269,Alabama,Population
1993-01-01,4193.114,Alabama,Population
1994-01-01,4232.965,Alabama,Population
1995-01-01,4262.731,Alabama,Population
1996-01-01,4290.403,Alabama,Population
1997-01-01,4320.281,Alabama,Population
1998-01-01,4351.037,Alabama,Population
1999-01-01,4369.862,Alabama,Population
2000-01-01,4452.173,Alabama,Population
2001-01-01,4467.634,Alabama,Population
2002-01-01,4480.089,Alabama,Population
2003-01-01,4503.491,Alabama,Population
2004-01-01,4530.729,Alabama,Population
2005-01-01,4569.805,Alabama,Population
2006-01-01,4628.981,Alabama,Population
2007-01-01,4672.84,Alabama,Population
2008-01-01,4718.206,Alabama,Population
2009-01-01,4757.938,Alabama,Population
2010-01-01,4785.514,Alabama,Population
2011-01-01,4799.642,Alabama,Population
2012-01-01,4816.632,Alabama,Population
2013-01-01,4831.586,Alabama,Population
2014-01-01,4843.737,Alabama,Population
2015-01-01,4854.803,Alabama,Population
2016-01-01,4866.824,Alabama,Population
