pollster,poll_id,state,start_date,end_date,DEM,REP,Delta,date,Quarter_2018-4,Quarter_2019-1,Quarter_2019-2,Quarter_2019-3,Quarter_2019-4,Quarter_2020-1,Quarter_2020-2,Quarter_2020-3,Quarter_2020-4,Quarter_2021-2,Quarter_2021-3,Quarter_2021-4,Quarter_2022-1,Quarter_2022-2,Quarter_2022-3,Quarter_2022-4,Quarter_2023-1,Quarter_2023-2,Quarter_2023-3,Quarter_2023-4,Quarter_2024-1,Quarter_2024-2,Quarter_2024-3,Quarter_2024-4,Day_Series,Prior_Delta,Swing
Rasmussen,57025,National,11/12/18,11/13/18,50,43,46.5,2018-11-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-3.5
HarrisX,57170,National,12/16/18,12/17/18,36.666666666666664,36.666666666666664,50,2018-12-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,46.5,3.5
PPP,57275,North Carolina,1/4/19,1/7/19,46.333333333333336,45.333333333333336,49.5,2019-01-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,-0.5
Atlantic Media and Research,57419,Texas,1/5/19,1/11/19,39,52,56.5,2019-01-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,50,6.5
Rasmussen,57312,National,1/10/19,1/13/19,40,43,51.5,2019-01-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,50,1.5
PPP,57365,National,1/19/19,1/21/19,48.22222222222222,41.666666666666664,46.72222222222222,2019-01-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,51.5,-4.777777777777779
Praecones Analytica,57407,New Hampshire,1/16/19,1/21/19,51.733333333333334,41.03333333333333,44.65,2019-01-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,50,-5.350000000000001
Glengariff Group Inc.,57427,Michigan,1/24/19,1/26/19,49.425,41.6,46.087500000000006,2019-01-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,50,-3.9124999999999943
Rasmussen,57466,National,1/30/19,1/31/19,46,40,47,2019-01-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,46.72222222222222,0.27777777777777857
Change Research,57442,National,1/31/19,2/1/19,46.1,45.3,49.599999999999994,2019-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,47,2.5999999999999943
Øptimus,57472,National,1/30/19,2/1/19,41.43333333333333,42.46666666666667,50.516666666666666,2019-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,49.599999999999994,0.9166666666666714
