state,Count,Delta_min,Delta_max,Delta_slope,Delta_Var,Delta_Range,Delta_Mean,Swing_Mean,Swing_Min,Swing_Max
Alabama,40,52,63.8525,0.001797954381419967,3.662695669070513,11.8525,59.5325625,0.3275,-9,11.8525
Alaska,45,50.5,60.5,7.40113029485311e-4,3.1371265972222226,10,54.12122222222222,0.1,-6.752499999999998,6
Arizona,319,44.5,57.5,0.001904061132561333,5.432193321357052,13,50.012831392745184,0.0054858934169279,-6.510000000000005,7.5
Arkansas,32,51,66.5375,-4.4271029018271073e-4,9.961608461441525,15.537499999999994,59.771171875,0.234375,-11.549999999999997,8.884999999999998
California,101,30.5,43.4375,0.0013934295110495213,6.9541416006831405,12.9375,37.27425663994971,-0.12128712871287128,-15.142857142857146,8.25
Colorado,73,39.25,50.1,0.001631871138889172,6.101489447773973,10.850000000000001,43.5633105022831,-0.0904109589041096,-7.99666666666667,6.850000000000001
Connecticut,39,33.485,45.3,0.003597857997047519,9.788234598515519,11.814999999999998,38.423012820512824,-0.20512820512820512,-7.289999999999999,6.1199999999999974
Delaware,31,30.930000000000007,47.43,0.003495882217289819,11.50269223118279,16.499999999999993,37.12975806451613,-0.27419354838709675,-13.792499999999997,8.569999999999993
District of Columbia,25,6.25,17.017500000000005,-0.02761005113152193,5.742016312500003,10.767500000000005,10.6747,-1.75,-38.477500000000006,7.9225000000000065
Florida,257,43.5,56.849999999999994,0.002945621709909184,7.114686369860062,13.349999999999994,50.260230220492865,0.009338521400778205,-8.149999999999999,9.5
Georgia,256,45.349999999999994,56.8,0.001117215458934573,3.522218723862592,11.450000000000003,50.668525390625,0.0035156249999999944,-5.75,6.810000000000002
Hawaii,29,32.1375,43.25,0.0062764035976029175,7.175775477216749,11.112499999999997,35.13956896551724,-0.23275862068965517,-17.862499999999997,10.049999999999997
Idaho,28,58.25,64.6,0.0037447981596341975,4.021219270833334,6.349999999999994,60.098125,0.5214285714285712,-4.887500000000003,8.447500000000005
Illinois,39,37.427499999999995,45.5,0.002098331139973485,4.3924480853576275,8.072500000000005,41.107179487179486,-0.21538461538461534,-11.1325,4.700000000000003
Indiana,42,53,59.5,0.0014068691166693073,2.565647633565622,6.5,55.54202380952381,0.1833333333333334,-6.25,6.5
Iowa,98,47,59,0.0025285782778220836,6.140573441229445,12,51.60331754130223,0.039540816326530615,-7.450000000000003,8.950000000000003
Kansas,44,50.8225,58.5,0.0011836519211047597,3.9761361621300204,7.677500000000002,54.072329545454544,0.08806818181818182,-5.5,4.75
Kentucky,45,53.5,64.15,0.002181382317590477,5.13628773358586,10.650000000000006,58.92422222222222,0.2455555555555555,-9.86,13.25
Louisiana,34,53,61.5,-3.070636354234854e-4,3.8277224209001792,8.5,58.13610294117647,0.21323529411764705,-5.609999999999999,9.150000000000006
Maine,59,38.835,53,0.002094105391517236,6.32566026081239,14.165,44.22334745762712,-0.09322033898305085,-7.414999999999999,4.899999999999999
Maine CD-1,22,34,46,2.1705655726855834e-4,8.148129396645022,12,39.13579545454545,-0.5454545454545454,-9.399999999999999,7.5
Maine CD-2,27,45.5,60,0.002487919895874448,10.185629131054132,14.5,50.84185185185185,0.07407407407407407,-8.5,7.25
Maryland,55,31.46,42.125,0.0025955287758997157,8.745775576599325,10.665,34.79087878787879,-0.2945454545454546,-11.875,10.125
Massachusetts,55,27.685,42.7,0.004350757127379435,15.175534927048261,15.015000000000004,33.2400303030303,-0.23636363636363636,-15.233333333333334,7.5
Michigan,380,40.5,57.5,0.0022279993382853477,6.870686841225412,17,48.33014495614035,5.263157894736917e-4,-10,9.835833333333333
Minnesota,107,41,51.83333333333333,0.0017933845012020877,5.043042688801699,10.833333333333329,45.95774143302181,-0.02149532710280371,-8.5,6.8799999999999955
Mississippi,34,52.64,60.59,-6.022649846765496e-5,3.2486138146167565,7.950000000000003,57.85044117647059,0.21617647058823533,-6.9424999999999955,9.5
Missouri,64,49,59.5,0.0022359150650222335,4.953194587053573,10.5,54.967734375,0.109375,-5,6.125
Montana,67,50.75,61,0.0034716433731804114,8.664653444896729,10.25,55.47613184079602,0.1417910447761194,-8.014999999999993,7.789999999999992
National,2860,39,56.5,0.0022059797866681983,5.68857695941358,17.5,48.494105044576635,0,-11.25,10
Nebraska,42,52.5,61.5,0.0029237374429426535,7.514745270760743,9,55.65077380952381,0.21428571428571427,-7.5,7.637500000000003
Nebraska CD-1,2,51,54,0.00192431045542015,4.5,3,52.5,2,1,3
Nebraska CD-2,19,44,51.5,1.923696176451004e-4,3.723285818713451,7.5,46.83552631578947,-0.21052631578947367,-5.5,4.200000000000003
Nebraska CD-3,1,72.5,72.5,NA,NA,0,72.5,22.5,22.5,22.5
Nevada,168,44.75,56.625,0.0016646890111588414,5.174304899513716,11.875,50.13768494897959,2.976190476190307e-4,-5.291666666666671,6.699999999999996
New Hampshire,94,39.6,58.65,0.001243725496735339,9.71688213359211,19.049999999999997,46.16498353596758,-0.026595744680851064,-10.149999999999999,8.767499999999998
