year,state,populationMaleWhite,populationFemaleWhite,populationMaleBlack,populationFemaleBlack,populationMaleAsian,populationFemaleAsian,populationMaleIndigenous,populationFemaleIndigenous,populationMalePacific,populationFemalePacific,populationOther_x,populationOther_y,populationTwo_x,populationTwo_y,populationMaleHispanic,populationFemaleHispanic,medianAgeMaleWhite,medianAgeFemaleWhite,medianAgeMaleBlack,medianAgeFemaleBlack,medianAgeMaleAsian,medianAgeFemaleAsian,medianAgeMaleIndigenous,medianAgeFemaleIndigenous,medianAgeMalePacific,medianAgeFemalePacific,medianAgeOther_x,medianAgeOther_y,medianAgeTwo_x,medianAgeTwo_y,medianAgeMaleHispanic,medianAgeFemaleHispanic,povertyWhite,povertyAsian,povertyIndigenous,povertyPacific,povertyOther,povertyTwo,povertyHispanic,medianHIncomeWhite,medianHIncomeBlack,medianHIncomeAsian,medianHIncomeIndigenous,medianHIncomePacific,medianHIncomeOther,medianHIncomeTwo,medianHIncomeHispanic,perCapitaIncomeWhite,perCapitaIncomeBlack,perCapitaIncomeAsian,perCapitaIncomeIndigenous,perCapitaIncomePacific,perCapitaIncomeOther,perCapitaIncomeTwo,perCapitaIncomeHispanic,bachelorDegreeMaleWhite,bachelorDegreeFemaleWhite,bachelorDegreeMaleBlack,bachelorDegreeFemaleBlack,bachelorDegreeMaleAsian,bachelorDegreeFemaleAsian,bachelorDegreeMaleIndigenous,bachelorDegreeFemaleIndigenous,bachelorDegreeMalePacific,bachelorDegreeFemalePacific,bachelorDegreeMaleOther,bachelorDegreeMaleTwo,bachelorDegreeFemaleTwo,bachelorDegreeMaleHispanic,bachelorDegreeFemaleHispanic,veteranMaleWhite,veteranFemaleWhite,veteranMaleBlack,veteranFemaleBlack,veteranMaleAsian,veteranFemaleAsian,veteranMaleIndigenous,veteranFemaleIndigenous,veteranMalePacific,veteranFemalePacific,veteranMaleOther,veteranFemaleOther,veteranMaleTwo,veteranFemaleTwo,veteranMaleHispanic,veteranFemaleHispanic,laborForceMaleWhite,laborForceFemaleWhite,laborForceMaleBlack,laborForceFemaleBlack,laborForceMaleAsian,laborForceFemaleAsian,laborForceMaleIndigenous,laborForceFemaleIndigenous,laborForceMalePacific,laborForceFemalePacific,laborForceMaleOther,laborForceFemaleOther,laborForceMaleTwo,laborForceFemaleTwo,laborForceMaleHispanic,laborForceFemaleHispanic,population,personalIncome,unemploymentRate,homeownershipRate,realMedianHouseholdIncome,bachelorDegreeRate,povertyRate
2009,Alabama,1551459.0,1622552.0,562778.0,647160.0,22201.0,24454.0,11791.0,11178.0,925.0,1100.0,21747.0,16595.0,28145.0,28345.0,71398.0,58822.0,38.9,41.7,29.1,33.5,30.2,33.7,34.5,39.4,22.7,23.0,25.6,23.0,20.5,23.5,24.2,22.4,3109408.0,45270.0,22499.0,1988.0,37642.0,54801.0,127113.0,47745.0,26734.0,51563.0,34594.0,26493.0,36467.0,32604.0,35484.0,26394.0,14650.0,24262.0,18274.0,12948.0,11517.0,13336.0,12019.0,267771.0,260122.0,35145.0,64460.0,7802.0,7131.0,1161.0,911.0,55.0,62.0,2243.0,878.0,1061.0,3807.0,3744.0,166957.0,13706.0,56050.0,9589.0,597.0,170.0,1392.0,109.0,66.0,20.0,550.0,127.0,2639.0,585.0,2281.0,633.0,1027702.0,669420.0,369510.0,285132.0,15423.0,10212.0,7921.0,4738.0,626.0,393.0,14160.0,5615.0,14461.0,9186.0,44071.0,17976.0,4757.938,32717.0,8.4,74.1,54890.0,22.0,17.5
2009,Alaska,236264.0,212065.0,13747.0,11414.0,15227.0,16651.0,46120.0,45819.0,2211.0,2058.0,6174.0,5439.0,25872.0,24760.0,21360.0,18301.0,35.9,37.1,28.4,27.1,34.8,39.1,26.9,29.1,26.3,27.2,27.9,31.5,17.1,17.6,24.1,25.1,438844.0,31595.0,88847.0,4116.0,11041.0,48921.0,38266.0,71223.0,53512.0,63834.0,41322.0,56596.0,52691.0,52580.0,55848.0,35158.0,22930.0,22711.0,16390.0,16685.0,20112.0,14928.0,19573.0,45810.0,48443.0,1384.0,1165.0,2350.0,2856.0,1009.0,1905.0,48.0,54.0,1181.0,568.0,505.0,1508.0,1874.0,39207.0,6221.0,2983.0,841.0,736.0,88.0,3448.0,409.0,219.0,50.0,639.0,75.0,1656.0,208.0,1692.0,335.0,172653.0,110338.0,10209.0,5958.0,11049.0,9356.0,29986.0,19157.0,1499.0,1084.0,4762.0,2908.0,13121.0,8577.0,14081.0,8287.0,698.895,47211.0,7.2,66.8,84570.0,26.6,9.1
2009,Arizona,1823429.0,1876624.0,119365.0,107917.0,72335.0,80966.0,137940.0,146325.0,6078.0,4967.0,300980.0,276801.0,80328.0,83927.0,979010.0,902868.0,41.4,44.2,28.6,29.7,32.4,35.5,25.2,27.6,30.7,31.4,26.2,26.1,16.2,16.7,25.4,25.4,3642144.0,151184.0,276087.0,10362.0,567077.0,159748.0,1842357.0,55608.0,40240.0,63703.0,31537.0,50243.0,41129.0,43349.0,39133.0,32256.0,19851.0,28751.0,12001.0,19335.0,14673.0,12126.0,14082.0,439015.0,407846.0,14653.0,14707.0,27106.0,26816.0,5072.0,8146.0,603.0,298.0,5381.0,13014.0,13243.0,46151.0,46178.0,221238.0,23448.0,14538.0,2285.0,2865.0,774.0,8149.0,1206.0,692.0,146.0,12411.0,1071.0,4951.0,689.0,36715.0,3560.0,1189939.0,833804.0,79640.0,46747.0,51174.0,37530.0,87436.0,53243.0,4304.0,2413.0,195964.0,109059.0,37708.0,26760.0,613305.0,329163.0,6343.154,33467.0,8.2,68.9,62790.0,25.6,16.5
2009,Arkansas,1052868.0,1096898.0,207481.0,231874.0,14399.0,16721.0,9109.0,10124.0,1255.0,1250.0,35842.0,31293.0,24984.0,25013.0,82412.0,71218.0,38.8,41.7,27.7,31.6,30.4,31.7,30.1,31.3,22.8,26.6,24.5,21.7,19.2,21.9,24.4,21.8,2093641.0,30432.0,18804.0,2469.0,65391.0,48506.0,149920.0,42074.0,24420.0,45795.0,36595.0,38750.0,30989.0,30545.0,32448.0,23470.0,13355.0,21885.0,15782.0,11737.0,10193.0,11707.0,10813.0,150316.0,154086.0,11409.0,19627.0,3882.0,3919.0,659.0,1133.0,34.0,14.0,1279.0,731.0,1066.0,2854.0,2582.0,113798.0,9228.0,19279.0,2963.0,478.0,91.0,1090.0,70.0,43.0,0.0,634.0,165.0,2129.0,248.0,2098.0,545.0,688702.0,468829.0,133669.0,103974.0,10283.0,7397.0,5988.0,4034.0,887.0,487.0,22916.0,10499.0,12354.0,7487.0,51192.0,23478.0,2896.843,31411.0,7.0,68.5,50160.0,18.9,18.5
2009,California,7657125.0,7789071.0,1107261.0,1142143.0,2146539.0,2326753.0,141447.0,141584.0,65424.0,67111.0,2919350.0,2719884.0,636834.0,636155.0,6734881.0,6367280.0,41.7,44.1,31.8,35.1,35.4,37.9,33.7,35.3,31.6,33.1,27.2,27.3,18.3,19.3,26.4,26.8,15133860.0,4412507.0,273015.0,129350.0,5518174.0,1235986.0,12854424.0,69828.0,43397.0,73570.0,46912.0,63597.0,46220.0,57704.0,46535.0,41333.0,22584.0,30811.0,22080.0,22124.0,15386.0,16882.0,15618.0,2237947.0,2067465.0,134825.0,161006.0,722615.0,760088.0,12139.0,12355.0,6171.0,5773.0,60073.0,125761.0,130410.0,336389.0,350963.0,739170.0,61672.0,110821.0,14714.0,64774.0,5529.0,13104.0,1692.0,6073.0,907.0,69445.0,6089.0,31844.0,4020.0,176338.0,14935.0,5287190.0,3574514.0,755962.0,522005.0,1502380.0,1082337.0,100961.0,62219.0,47071.0,32323.0,1956190.0,1093876.0,329351.0,224646.0,4338035.0,2460976.0,36961.229,41660.0,9.9,57.0,77070.0,29.9,14.2
2009,Colorado,1720661.0,1729767.0,97485.0,89113.0,57794.0,67542.0,23223.0,22795.0,2333.0,2697.0,149169.0,133070.0,70506.0,72105.0,499854.0,455810.0,38.2,40.4,31.4,31.0,33.5,34.6,31.9,34.4,31.0,29.9,27.8,27.4,17.8,18.1,26.6,26.0,3384486.0,123104.0,43692.0,4885.0,273247.0,138081.0,932581.0,61771.0,37537.0,60996.0,40675.0,52675.0,40490.0,46895.0,38166.0,34700.0,20088.0,28100.0,20431.0,21698.0,15842.0,14986.0,15122.0,497809.0,479253.0,13338.0,11712.0,20580.0,19689.0,2199.0,2522.0,223.0,450.0,7167.0,8089.0,8581.0,29755.0,30216.0,197032.0,21266.0,14403.0,2573.0,2382.0,548.0,2668.0,721.0,427.0,78.0,7947.0,739.0,4839.0,1075.0,25898.0,2381.0,1211611.0,885951.0,67809.0,41475.0,41666.0,32339.0,16880.0,10946.0,1812.0,1496.0,100766.0,56118.0,36186.0,26749.0,319390.0,178631.0,4972.195,40258.0,6.6,68.4,76790.0,35.9,12.6
2009,Connecticut,1254440.0,1330226.0,157229.0,172957.0,58333.0,59182.0,4446.0,3723.0,470.0,822.0,90836.0,84497.0,34694.0,34936.0,205677.0,200799.0,41.5,43.9,29.5,33.6,33.0,33.1,30.3,35.9,19.6,38.6,26.8,28.2,15.8,18.4,26.4,28.2,2510128.0,113299.0,7686.0,1207.0,168269.0,66333.0,392133.0,74645.0,43353.0,82212.0,45615.0,78512.0,37694.0,50768.0,39868.0,41610.0,21003.0,37575.0,21924.0,25346.0,16456.0,16571.0,18197.0,347021.0,354261.0,14852.0,19381.0,24778.0,22769.0,339.0,478.0,55.0,161.0,2980.0,4661.0,5872.0,13919.0,17229.0,103430.0,7451.0,9407.0,1481.0,573.0,109.0,256.0,40.0,17.0,41.0,1934.0,398.0,1569.0,262.0,5713.0,747.0,841646.0,641298.0,104697.0,88519.0,41554.0,27673.0,3105.0,1697.0,291.0,598.0,63496.0,39993.0,16148.0,13325.0,134958.0,89353.0,3561.807,59586.0,7.1,70.5,89030.0,35.6,9.3
2009,Delaware,286381.0,304246.0,83344.0,93399.0,12419.0,12665.0,1456.0,1132.0,57.0,77.0,9936.0,8164.0,7239.0,7655.0,30851.0,26956.0,40.8,43.2,30.3,34.0,32.0,33.8,38.3,37.0,31.1,44.1,28.1,23.6,14.4,17.6,25.3,24.0,575952.0,24934.0,2543.0,131.0,17709.0,14315.0,56295.0,62352.0,43552.0,82836.0,38600.0,32083.0,45615.0,46250.0,41912.0,32924.0,20344.0,35641.0,20171.0,24067.0,14350.0,14699.0,14444.0,60931.0,63486.0,8143.0,10620.0,5885.0,4868.0,179.0,69.0,0.0,0.0,607.0,433.0,646.0,1633.0,1872.0,31671.0,2987.0,8580.0,1286.0,261.0,34.0,163.0,12.0,10.0,0.0,312.0,41.0,571.0,155.0,997.0,74.0,189062.0,143077.0,55497.0,46453.0,8631.0,5188.0,891.0,617.0,28.0,37.0,6654.0,2831.0,3255.0,2544.0,19051.0,9023.0,891.73,41056.0,7.2,76.5,71550.0,28.7,11.2
2009,District of Columbia,93555.0,94179.0,146241.0,178390.0,7693.0,9746.0,753.0,820.0,255.0,171.0,13048.0,10887.0,4272.0,5174.0,25968.0,23845.0,35.9,34.1,35.0,39.5,33.4,32.6,49.0,38.8,36.4,24.0,30.1,29.1,25.7,29.7,30.2,30.7,171887.0,16140.0,1518.0,372.0,23528.0,8929.0,48404.0,102343.0,37304.0,71768.0,72700.0,113839.0,41975.0,54052.0,46998.0,74359.0,23318.0,45454.0,44677.0,60634.0,22710.0,30640.0,27430.0,61529.0,59748.0,19435.0,26938.0,4152.0,4900.0,267.0,342.0,197.0,85.0,1233.0,1866.0,1684.0,5132.0,5059.0,6111.0,619.0,11226.0,1284.0,150.0,107.0,24.0,47.0,21.0,0.0,248.0,44.0,253.0,113.0,603.0,94.0,74141.0,58082.0,96463.0,80178.0,6109.0,5879.0,594.0,500.0,220.0,55.0,9499.0,5194.0,2844.0,2621.0,18992.0,11959.0,,,,,,,
2009,Florida,5391282.0,5634310.0,1348065.0,1451634.0,194748.0,222992.0,27630.0,27355.0,4905.0,5054.0,343867.0,306257.0,165930.0,165136.0,1905336.0,1840942.0,44.0,46.7,28.5,31.6,34.2,36.3,37.8,37.6,30.0,31.1,28.2,28.9,20.8,21.9,31.8,34.4,10805954.0,413331.0,53414.0,9660.0,638703.0,322628.0,3684038.0,51808.0,34650.0,57269.0,40896.0,53159.0,42261.0,42664.0,41646.0,31969.0,16022.0,26758.0,21152.0,24061.0,16398.0,15287.0,18778.0,1209316.0,1096218.0,104769.0,150665.0,63737.0,65681.0,2996.0,3286.0,722.0,544.0,16903.0,29051.0,30343.0,235935.0,252896.0,624718.0,60734.0,101577.0,19213.0,6319.0,1007.0,4087.0,606.0,672.0,154.0,12395.0,1863.0,10790.0,1802.0,68204.0,7450.0,3411054.0,2380572.0,883876.0,691225.0,136859.0,104341.0,19891.0,11338.0,3512.0,2655.0,242846.0,137875.0,87101.0,58654.0,1280042.0,793649.0,18652.644,36777.0,7.8,70.9,62650.0,25.3,15.0
2009,Georgia,2728907.0,2814972.0,1323440.0,1495084.0,131922.0,136909.0,12915.0,11032.0,2664.0,2324.0,203374.0,146089.0,65094.0,67475.0,415841.0,319284.0,37.4,39.7,28.8,32.5,32.4,34.0,33.3,38.7,27.3,28.4,26.1,22.8,16.6,18.6,26.1,23.1,5412561.0,262026.0,22929.0,4707.0,341980.0,128006.0,717203.0,57370.0,36060.0,62545.0,39965.0,51716.0,37610.0,44823.0,38958.0,30646.0,17539.0,25986.0,20227.0,21445.0,12633.0,13976.0,13490.0,588103.0,580813.0,123745.0,189297.0,46442.0,41083.0,1477.0,1336.0,192.0,207.0,5680.0,11513.0,9162.0,25958.0,23229.0,287627.0,26744.0,134162.0,30402.0,2049.0,409.0,2065.0,298.0,291.0,77.0,2982.0,590.0,4565.0,1284.0,8494.0,1585.0,1845768.0,1261763.0,883485.0,729251.0,92972.0,60138.0,9281.0,4472.0,1908.0,1172.0,136993.0,48571.0,31238.0,23339.0,271671.0,106575.0,9620.846,34213.0,9.2,67.4,59500.0,27.5,16.6
2009,Hawaii,173310.0,144470.0,18924.0,12071.0,230928.0,262250.0,1934.0,1847.0,57039.0,55901.0,9671.0,6990.0,141062.0,136943.0,58350.0,52303.0,38.3,42.0,30.5,27.9,44.8,47.9,33.0,42.2,30.5,33.1,28.6,30.0,23.1,24.1,23.8,24.5,305512.0,486791.0,3463.0,111226.0,15493.0,273142.0,107043.0,66650.0,56227.0,67629.0,49861.0,54783.0,53390.0,61806.0,55981.0,38650.0,29672.0,30041.0,29427.0,19478.0,24026.0,19163.0,18460.0,51896.0,44472.0,2383.0,2585.0,51559.0,61380.0,198.0,341.0,3667.0,4416.0,11181.0,854.0,799.0,4250.0,4669.0,23761.0,3643.0,5024.0,2002.0,17563.0,1051.0,414.0,107.0,4583.0,567.0,1284.0,179.0,10282.0,1237.0,4828.0,843.0,128494.0,69966.0,15006.0,6445.0,152898.0,124138.0,1579.0,876.0,38316.0,25095.0,7517.0,3331.0,82270.0,58093.0,35969.0,21591.0,1346.717,41144.0,5.9,59.5,76400.0,29.6,10.4
2009,Idaho,635120.0,636714.0,5068.0,3962.0,7266.0,9473.0,8729.0,9623.0,938.0,889.0,19253.0,16453.0,18083.0,18371.0,79838.0,70141.0,35.4,37.5,22.9,18.3,30.3,33.7,30.6,30.0,22.8,34.3,26.8,25.7,17.9,17.9,23.6,21.8,1243445.0,16262.0,17664.0,1786.0,35213.0,34561.0,146351.0,47736.0,37672.0,47588.0,34733.0,75192.0,38758.0,36420.0,34364.0,23871.0,13294.0,21338.0,14204.0,16176.0,13379.0,11194.0,11986.0,107929.0,97982.0,656.0,376.0,2105.0,2257.0,474.0,562.0,18.0,57.0,1119.0,849.0,699.0,3285.0,2248.0,69618.0,6640.0,499.0,152.0,218.0,12.0,677.0,76.0,47.0,21.0,581.0,46.0,1355.0,167.0,2238.0,317.0,414570.0,286485.0,3229.0,1441.0,4901.0,3825.0,5883.0,3694.0,648.0,498.0,12723.0,6893.0,9217.0,5925.0,48454.0,25388.0,1554.439,31200.0,7.6,75.5,64220.0,23.9,14.4
