year,state,populationMaleWhite,populationFemaleWhite,populationMaleBlack,populationFemaleBlack,populationMaleAsian,populationFemaleAsian,populationMaleIndigenous,populationFemaleIndigenous,populationMalePacific,populationFemalePacific,populationOther_x,populationOther_y,populationTwo_x,populationTwo_y,populationMaleHispanic,populationFemaleHispanic,medianAgeMaleWhite,medianAgeFemaleWhite,medianAgeMaleBlack,medianAgeFemaleBlack,medianAgeMaleAsian,medianAgeFemaleAsian,medianAgeMaleIndigenous,medianAgeFemaleIndigenous,medianAgeMalePacific,medianAgeFemalePacific,medianAgeOther_x,medianAgeOther_y,medianAgeTwo_x,medianAgeTwo_y,medianAgeMaleHispanic,medianAgeFemaleHispanic,povertyWhite,povertyAsian,povertyIndigenous,povertyPacific,povertyOther,povertyTwo,povertyHispanic,medianHIncomeWhite,medianHIncomeBlack,medianHIncomeAsian,medianHIncomeIndigenous,medianHIncomePacific,medianHIncomeOther,medianHIncomeTwo,medianHIncomeHispanic,perCapitaIncomeWhite,perCapitaIncomeBlack,perCapitaIncomeAsian,perCapitaIncomeIndigenous,perCapitaIncomePacific,perCapitaIncomeOther,perCapitaIncomeTwo,perCapitaIncomeHispanic,bachelorDegreeMaleWhite,bachelorDegreeFemaleWhite,bachelorDegreeMaleBlack,bachelorDegreeFemaleBlack,bachelorDegreeMaleAsian,bachelorDegreeFemaleAsian,bachelorDegreeMaleIndigenous,bachelorDegreeFemaleIndigenous,bachelorDegreeMalePacific,bachelorDegreeFemalePacific,bachelorDegreeMaleOther,bachelorDegreeMaleTwo,bachelorDegreeFemaleTwo,bachelorDegreeMaleHispanic,bachelorDegreeFemaleHispanic,veteranMaleWhite,veteranFemaleWhite,veteranMaleBlack,veteranFemaleBlack,veteranMaleAsian,veteranFemaleAsian,veteranMaleIndigenous,veteranFemaleIndigenous,veteranMalePacific,veteranFemalePacific,veteranMaleOther,veteranFemaleOther,veteranMaleTwo,veteranFemaleTwo,veteranMaleHispanic,veteranFemaleHispanic,laborForceMaleWhite,laborForceFemaleWhite,laborForceMaleBlack,laborForceFemaleBlack,laborForceMaleAsian,laborForceFemaleAsian,laborForceMaleIndigenous,laborForceFemaleIndigenous,laborForceMalePacific,laborForceFemalePacific,laborForceMaleOther,laborForceFemaleOther,laborForceMaleTwo,laborForceFemaleTwo,laborForceMaleHispanic,laborForceFemaleHispanic,population,personalIncome,unemploymentRate,homeownershipRate,realMedianHouseholdIncome,bachelorDegreeRate,povertyRate
2009,Alabama,1551459,1622552,562778,647160,22201,24454,11791,11178,925,1100,21747,16595,28145,28345,71398,58822,38.9,41.7,29.1,33.5,30.2,33.7,34.5,39.4,22.7,23,25.6,23,20.5,23.5,24.2,22.4,3109408,45270,22499,1988,37642,54801,127113,47745,26734,51563,34594,26493,36467,32604,35484,26394,14650,24262,18274,12948,11517,13336,12019,267771,260122,35145,64460,7802,7131,1161,911,55,62,2243,878,1061,3807,3744,166957,13706,56050,9589,597,170,1392,109,66,20,550,127,2639,585,2281,633,1027702,669420,369510,285132,15423,10212,7921,4738,626,393,14160,5615,14461,9186,44071,17976,4757938,32717,8.4,74.1,54890,22,17.5
2009,Alaska,236264,212065,13747,11414,15227,16651,46120,45819,2211,2058,6174,5439,25872,24760,21360,18301,35.9,37.1,28.4,27.1,34.8,39.1,26.9,29.1,26.3,27.2,27.9,31.5,17.1,17.6,24.1,25.1,438844,31595,88847,4116,11041,48921,38266,71223,53512,63834,41322,56596,52691,52580,55848,35158,22930,22711,16390,16685,20112,14928,19573,45810,48443,1384,1165,2350,2856,1009,1905,48,54,1181,568,505,1508,1874,39207,6221,2983,841,736,88,3448,409,219,50,639,75,1656,208,1692,335,172653,110338,10209,5958,11049,9356,29986,19157,1499,1084,4762,2908,13121,8577,14081,8287,698895,47211,7.2,66.8,84570,26.6,9.1
2009,Arizona,1823429,1876624,119365,107917,72335,80966,137940,146325,6078,4967,300980,276801,80328,83927,979010,902868,41.4,44.2,28.6,29.7,32.4,35.5,25.2,27.6,30.7,31.4,26.2,26.1,16.2,16.7,25.4,25.4,3642144,151184,276087,10362,567077,159748,1842357,55608,40240,63703,31537,50243,41129,43349,39133,32256,19851,28751,12001,19335,14673,12126,14082,439015,407846,14653,14707,27106,26816,5072,8146,603,298,5381,13014,13243,46151,46178,221238,23448,14538,2285,2865,774,8149,1206,692,146,12411,1071,4951,689,36715,3560,1189939,833804,79640,46747,51174,37530,87436,53243,4304,2413,195964,109059,37708,26760,613305,329163,6343154,33467,8.2,68.9,62790,25.6,16.5
2009,Arkansas,1052868,1096898,207481,231874,14399,16721,9109,10124,1255,1250,35842,31293,24984,25013,82412,71218,38.8,41.7,27.7,31.6,30.4,31.7,30.1,31.3,22.8,26.6,24.5,21.7,19.2,21.9,24.4,21.8,2093641,30432,18804,2469,65391,48506,149920,42074,24420,45795,36595,38750,30989,30545,32448,23470,13355,21885,15782,11737,10193,11707,10813,150316,154086,11409,19627,3882,3919,659,1133,34,14,1279,731,1066,2854,2582,113798,9228,19279,2963,478,91,1090,70,43,0,634,165,2129,248,2098,545,688702,468829,133669,103974,10283,7397,5988,4034,887,487,22916,10499,12354,7487,51192,23478,2896843,31411,7,68.5,50160,18.9,18.5
2009,California,7657125,7789071,1107261,1142143,2146539,2326753,141447,141584,65424,67111,2919350,2719884,636834,636155,6734881,6367280,41.7,44.1,31.8,35.1,35.4,37.9,33.7,35.3,31.6,33.1,27.2,27.3,18.3,19.3,26.4,26.8,15133860,4412507,273015,129350,5518174,1235986,12854424,69828,43397,73570,46912,63597,46220,57704,46535,41333,22584,30811,22080,22124,15386,16882,15618,2237947,2067465,134825,161006,722615,760088,12139,12355,6171,5773,60073,125761,130410,336389,350963,739170,61672,110821,14714,64774,5529,13104,1692,6073,907,69445,6089,31844,4020,176338,14935,5287190,3574514,755962,522005,1502380,1082337,100961,62219,47071,32323,1956190,1093876,329351,224646,4338035,2460976,36961229,41660,9.9,57,77070,29.9,14.2
2009,Colorado,1720661,1729767,97485,89113,57794,67542,23223,22795,2333,2697,149169,133070,70506,72105,499854,455810,38.2,40.4,31.4,31,33.5,34.6,31.9,34.4,31,29.9,27.8,27.4,17.8,18.1,26.6,26,3384486,123104,43692,4885,273247,138081,932581,61771,37537,60996,40675,52675,40490,46895,38166,34700,20088,28100,20431,21698,15842,14986,15122,497809,479253,13338,11712,20580,19689,2199,2522,223,450,7167,8089,8581,29755,30216,197032,21266,14403,2573,2382,548,2668,721,427,78,7947,739,4839,1075,25898,2381,1211611,885951,67809,41475,41666,32339,16880,10946,1812,1496,100766,56118,36186,26749,319390,178631,4972195,40258,6.6,68.4,76790,35.9,12.6
2009,Connecticut,1254440,1330226,157229,172957,58333,59182,4446,3723,470,822,90836,84497,34694,34936,205677,200799,41.5,43.9,29.5,33.6,33,33.1,30.3,35.9,19.6,38.6,26.8,28.2,15.8,18.4,26.4,28.2,2510128,113299,7686,1207,168269,66333,392133,74645,43353,82212,45615,78512,37694,50768,39868,41610,21003,37575,21924,25346,16456,16571,18197,347021,354261,14852,19381,24778,22769,339,478,55,161,2980,4661,5872,13919,17229,103430,7451,9407,1481,573,109,256,40,17,41,1934,398,1569,262,5713,747,841646,641298,104697,88519,41554,27673,3105,1697,291,598,63496,39993,16148,13325,134958,89353,3561807,59586,7.1,70.5,89030,35.6,9.3
2009,Delaware,286381,304246,83344,93399,12419,12665,1456,1132,57,77,9936,8164,7239,7655,30851,26956,40.8,43.2,30.3,34,32,33.8,38.3,37,31.1,44.1,28.1,23.6,14.4,17.6,25.3,24,575952,24934,2543,131,17709,14315,56295,62352,43552,82836,38600,32083,45615,46250,41912,32924,20344,35641,20171,24067,14350,14699,14444,60931,63486,8143,10620,5885,4868,179,69,0,0,607,433,646,1633,1872,31671,2987,8580,1286,261,34,163,12,10,0,312,41,571,155,997,74,189062,143077,55497,46453,8631,5188,891,617,28,37,6654,2831,3255,2544,19051,9023,891730,41056,7.2,76.5,71550,28.7,11.2
2009,District of Columbia,93555,94179,146241,178390,7693,9746,753,820,255,171,13048,10887,4272,5174,25968,23845,35.9,34.1,35,39.5,33.4,32.6,49,38.8,36.4,24,30.1,29.1,25.7,29.7,30.2,30.7,171887,16140,1518,372,23528,8929,48404,102343,37304,71768,72700,113839,41975,54052,46998,74359,23318,45454,44677,60634,22710,30640,27430,61529,59748,19435,26938,4152,4900,267,342,197,85,1233,1866,1684,5132,5059,6111,619,11226,1284,150,107,24,47,21,0,248,44,253,113,603,94,74141,58082,96463,80178,6109,5879,594,500,220,55,9499,5194,2844,2621,18992,11959,0,,,,,,
2009,Florida,5391282,5634310,1348065,1451634,194748,222992,27630,27355,4905,5054,343867,306257,165930,165136,1905336,1840942,44,46.7,28.5,31.6,34.2,36.3,37.8,37.6,30,31.1,28.2,28.9,20.8,21.9,31.8,34.4,10805954,413331,53414,9660,638703,322628,3684038,51808,34650,57269,40896,53159,42261,42664,41646,31969,16022,26758,21152,24061,16398,15287,18778,1209316,1096218,104769,150665,63737,65681,2996,3286,722,544,16903,29051,30343,235935,252896,624718,60734,101577,19213,6319,1007,4087,606,672,154,12395,1863,10790,1802,68204,7450,3411054,2380572,883876,691225,136859,104341,19891,11338,3512,2655,242846,137875,87101,58654,1280042,793649,18652644,36777,7.8,70.9,62650,25.3,15
